,index,created_at,id,text,partei,score,Stimmung
642,4,2022-09-01 18:16:19,1565403191587606529,"Oe24 Bundespräsidenten-Wahl
Umfrage ohne Beinschab Tool
Beinschab Umfrage die Vorbereitung für Wahlbetrug? 
#SPÖ
#Fpö
#ÖVP 
#NEOS 
#Gruenen https://t.co/ATFfnV3WOE",NEOS,0.0,neutral
643,5,2022-09-01 16:32:55,1565377169878142977,"#Landtag #Tirol
1) #SPÖ+#Gruene+#Neos+#Fritz kommt, falls sie Mehrh. haben. Wackelpudding 19:17
2) #ÖVP+SPÖ+Neos: Wünsche #Mattle viel Vergnügen mit #Dornauer u. #Oberhofer; lustiger Dreier
3) ÖVP+SPÖ+Grüne: Machen Schwarze nie
4) ÖVP+Gruene+Neos; lustiger Dreier mit starker Oppo https://t.co/WkFtlZDamn",NEOS,0.0,neutral
644,6,2022-09-01 16:18:28,1565373534372864004,"#Platter hat keine starke Persönl. hochkommen lassen, lauter #Schwachmatiker in Reg. (ähnl. #SebastianKurz). Und er wollte #Transit-Lobbyist #Walser als LH verhindern.
Ich bin Prognostikerin - schau dir Alternativen #Abwerzger u. #Dornauer an, #Neos oder #Gruene.
Ein Wahnsinn. https://t.co/DRAjGlgAMJ",NEOS,0.0,neutral
645,7,2022-09-01 16:12:33,1565372044447043586,"Kann mir kaum vorstellen, dass #Abwerzger 20% . Blaues Personal in #Tirol mies.
Kann mir auch 26% für #ÖVP nicht vorstellen; logisch 30-35. 4% für Sonst. Unsinn (nicht flächendeckend). 
#SPÖ-#Dornauer ist personell auch Joke.
Am ehesten #Neos; Protest - #Fritz. https://t.co/QDD5dXX69p",NEOS,0.0,neutral
646,8,2022-09-01 16:05:32,1565370279022542851,"@austrocom Ähem... Ja. Wie nennt man das? So klitzekleine Nachfage: Wieviel? Warum? Wofür? Wäre doch dringewesen, oder? Wollen Sie nicht lieber aufhören, @chriswiederkehr #Neos? Das macht ja keinen Sinn. #WienEnergie",NEOS,0.0,neutral
647,9,2022-09-01 15:38:44,1565363534233493506,@PeterBorbe Köstlich!! 😂 #Selenskyj #Heuchler #neos #fpö #madworld,NEOS,0.0,neutral
648,0,2022-09-09 06:18:40,1568121693595377664,@ThomasWalach Dass letzte Mal als die #ÖVP die Koalition sprengte war als das #Ibiza Video aufkam! War das Video von der #SPÖ? Oder vertun Sie sich nur und Sie meinten nicht das letzte Mal!,SPÖ,0.0,neutral
649,1,2022-09-09 06:02:51,1568117712831873024,"Schön übrigens, dass dem neuen #spoe @ThomasWalach die Fake Umfrage von @oe24at gefällt. https://t.co/MsWDTTkLYS",SPÖ,0.0,neutral
650,2,2022-09-09 05:11:40,1568104832782696450,"Während der Katastrophe der #WienEnergie, war der Eigentümer-Vertreter noch immer auf Urlaub. Dass dieser Yacht-Trip von Wiens #SPÖ- Finanzstadtrat Peter Hanke während der totalen Krise geheim bleiben sollte, hatte drei Gründe.
https://t.co/2aV07IOVGT",SPÖ,0.0,neutral
651,3,2022-09-09 04:53:03,1568100147199987712,Politischer Schaden für die #SPÖ ist angerichtet: Hans Peter Doskozil zeigt sich vom ÖGB-Mindestlohn von 2000 Euro persönlich enttäuscht. Mit der Krone sprach Burgenlands Landes... https://t.co/ya4sS71uG0,SPÖ,0.0,neutral
652,4,2022-09-09 04:53:00,1568100135736954883,@IngridFuhrmann3 Wird im #orf in der #zib2 gerade einmal am Rande erwähnt! Beträfe es die #spö wäre der Teufel los!,SPÖ,0.0,neutral
653,5,2022-09-08 22:43:10,1568007062713520136,"48 Retweets, 28 zitierte Tweets, 386 Likes nach mittlerweile 9h Stunden. Die #SPÖ mit ihrem neuen Plüschhündchen von zackzack ist derart kaputt das geht auf keine Kuh-Haut mehr. 🤣🤣🤣 https://t.co/4splJH8dLv",SPÖ,0.0,neutral
654,6,2022-09-08 21:42:21,1567991758495141904,Monate später Vorschläge der #spoe übernehmen - sagt viel über #DieGruenen https://t.co/CDEf1V9IHR,SPÖ,0.0,neutral
655,7,2022-09-08 21:22:38,1567986797195534337,"Oe24 Bundespräsidenten-Wahl
Umfrage ohne Beinschab Tool
Beinschab Umfrage die Vorbereitung für Wahlbetrug?
#SPÖ
#Fpö
#ÖVP
#NEOS
#Gruenen https://t.co/TPIN3nrAvu",SPÖ,0.0,neutral
656,8,2022-09-08 20:45:42,1567977502110371842,"#SPÖ will auf #Telegram aktiv werden...🙈🙈🙈

Na servas....

#MichaelWendler,#XavierNaidoo und #AttilaHildmann gefällt das...😂😂😂 https://t.co/gtcOCDgWsh",SPÖ,0.0,neutral
657,9,2022-09-08 19:09:43,1567953344890810369,Ich finde die #SPÖ wirklich witzig. #WienEnergie https://t.co/fFt34OYOAq,SPÖ,0.0,neutral
