name,Super98,Super95,Diesel,PLZ,land,bundesland,bezirk,stadt,strasse,datum,zeit,coordinates_X,coordinates_Y
Genol Lagerhaus Tankstelle,0,0,2.049,3820,at,Niederösterreich,Waidhofen/Thaya,Raabs an der Thaya,Bahnstraße 20,3.11.2022,10:9:9,15.4967657,48.8432528
KOBRAS Spezielle ***Tankstelle*** INFO >,0,1.778,2.046,6951,at,Vorarlberg,Bregenz,"Lingenau, ",Hof 270a,3.11.2022,10:9:50,9.9248451,47.4508201
avanti - Wiener Neustadt Neunkirchner Straße 118,0,1.732,2.022,2700,at,Niederösterreich,Wiener Neustadt Land,Wiener Neustadt,Neunkirchner Strasse 118,3.11.2022,10:8:54,16.19135,47.78134
Turmöl Quick,0,0,1.987,5630,at,Salzburg,St. Johann,Bad Hofgastein,Weitmoserstr. 1,3.11.2022,10:9:30,13.1072403,47.1571884
Turmöl Quick,0,1.694,1.994,2325,at,Niederösterreich,Wien Umgebung,Himberg,Gutenhoferstraße 16,3.11.2022,10:8:55,16.4421257,48.0782678
OIL! Tankstelle,0,1.809,2.039,6621,at,Tirol,Reutte,Bichlbach,B 314 / B 179,3.11.2022,10:9:48,10.7829,47.4229
Turmöl Quick,0,1.754,0,8753,at,Steiermark,Judenburg,Fohnsdorf,Judenburger Straße 12,3.11.2022,10:9:41,14.6779343,47.2060639
Sprint - Landforst Weißkirchen,0,1.754,0,8741,at,Steiermark,Judenburg,Weißkirchen,Fisching 37,3.11.2022,10:9:40,14.734028263541672,47.15922191686116
avanti - Stegersbach Wiener Straße 3,0,1.739,1.994,7551,at,Burgenland,Güssing,Stegersbach,Wiener Strasse 3,3.11.2022,10:8:39,16.16488,47.16113
AVIA XPress (unser Service: Luft und Wasser),0,0,2.015,3532,at,Niederösterreich,Krems Land,Peygarten 208,Peygarten 208,3.11.2022,10:9:1,15.3323317,48.5837495
avanti - Wien Simmeringer Hauptstraße 5,0,1.693,1.993,1110,at,Wien,Simmering,Wien,Simmeringer Hauptstrasse 5,3.11.2022,10:9:55,16.4059,48.18388
Genol,0,1.749,0,3261,at,Niederösterreich,Scheibbs,Wolfpassing,Automeile 1,3.11.2022,10:9:7,15.057685,48.071871
Turmöl Quick,0,1.688,1.989,8570,at,Steiermark,Voitsberg,Voitsberg,Umfahrungsstraße 2,3.11.2022,10:9:39,15.1698067,47.0354119
Böhler`s Tankstelle,0,1.779,2.049,6932,at,Vorarlberg,Bregenz,Langen bei Bregenz,Reicharten 617,3.11.2022,10:9:50,9.822679,47.505693
avanti - Klagenfurt St.Veiter Straße 258,0,1.689,1.994,9020,at,Kärnten,Klagenfurt Land,Klagenfurt,St.Veiter Strasse 258,3.11.2022,10:8:44,14.31387,46.65337
BP,0,0,1.994,4780,at,Oberösterreich,Schärding,Schärding,Linzerstraße 52,3.11.2022,10:9:25,13.4358673,48.4511218
